1;Filomatic;A CORU�A;A Coru�a;R�a San Jos�, 21, 15002;626716307;salafilomatic@gmail.com;Sin datos;Rock, Metal, Punk;200-250
57;The Garage Club;BARCELONA;L'Hospitalet de Llobregat;Passatge Can Pol�tic, 13, 08907;937048904;thegarage@thebassvalley.com;https://thebassvalley.com/the-garage-club/;DJ, Electr�nica, Techno;300
58;And�n 56;BURGOS;Burgos;C. San Pedro y San Felices, 56, 09001;Sin datos;contratacion@elanden56.com;https://www.elanden56.com/;Rock, Metal, Hardcore, Jazz, Hip-Hop;1200
59;Rock Beer The New;CANTABRIA;Santander;C. Pe�as Redondas, 15, 39010;608287067;rockbeerthenew@hotmail.com;https://rockbeerthenew.es/;Rock, Metal, Punk;150
60;Monkey Man;GUADALAJARA;Guadalajara;C. del Alam�n, 121, 19005;616936364;salamonkeyman@gmail.com;https://cafeteatromonkeyman.com/;Rock, Pop;150
61;Fundici�n;LA RIOJA;Logro�o;C. de la Fundici�n, 4, 26002;Sin datos;info@salafundicion.es;https://salafundicion.es/;Rock, Metal Pop, Funk;400
62;Academy;MADRID;Madrid;C. de Fern�ndez de los R�os, 67, 28015;638370792;info@academymadrid.com;Sin datos;Rock, Pop;100
63;Audio Rock;MADRID;Madrid;Cam. de las Hormigueras, 175, puerta 11, 28031;656930590;audiorock.audiorock@gmail.com;http://www.audiorock.es/;Rock, Metal, Pop;150
64;BarCo;MADRID;Madrid;C. del Barco, 34, 28004;915212447;pdejuan@barcobar.com;http://www.salabarco.com/;Rock, Pop, Reggae, Funk, Latina;200
65;Barracudas;MADRID;Madrid;Calle de Brescia, 19, 28028;693757061;agenda.barracudas@gmail.com;http://www.barracudasrockbar.com/;Rock, Metal;150
66;B�ho Real;MADRID;Madrid;C. de Regueros, 5, 28004;913084851;salabuhorealbar@gmail.com;http://www.buhoreal.com/;Pop, Rock, Folk;90
67;But (Sala Paqui);MADRID;Madrid;C. de Barcel�, 11, Local B, 28004;914455861;info@butmadrid.com;Sin datos;Indie, Pop, Rock, Hip-Hop, Metal;1000
68;Cadillac Solitario;MADRID;Madrid;C. de Ferm�n Caballero, 6, Local C, 28034;624601032;info@cadillacsolitario.com;http://www.cadillacsolitario.com/;Pop, Rock, Indie;200
69;Caf� Central;MADRID;Madrid;Pl. del �ngel, 10, 28012;913694143;info@cafecentralmadrid.com;http://www.cafecentralmadrid.com/;Jazz;80
70;Caf� La Palma;MADRID;Madrid;C. de la Palma, 62, 28015;915225031;cafelapalma@cafelapalma.com;http://www.cafelapalma.com/;Pop, Indie, Electr�nica, Rock;150
71;Caracol;MADRID;Madrid;C. de Bernardino Obreg�n, 18, 28012;915273594;salacaracol@salacaracol.com;http://www.salacaracol.com/;Rock, Metal, Pop;500
72;Charada;MADRID;Madrid;C. de la Bola, 13, 28013;663230504;info@charada.es;http://charada.es/;Pop, Rock, Indie, Metal;120-450
73;Clamores;MADRID;Madrid;C. de Alburquerque, 14, 28010;914455480;info@salaclamores.es;http://www.salaclamores.es/;Jazz, Rock, Pop, Soul, Funk, Folk;224
74;ContraClub;MADRID;Madrid;C. de Bail�n, 16, 28005;699741885;programacion@contraclub.es;http://www.contraclub.es/;Indie, Pop, Rock;50-80
75;Cop�rnico;MADRID;Madrid;C. de Fern�ndez de los R�os, 67, 28015;665530478;info@salacopernico.es;http://www.salacopernico.es/;Punk, Rock, Jazz, Funk, Electr�nica;700
76;El Despertar;MADRID;Madrid;C. de la Torrecilla del Leal, 18, 28012;915308095;programacion@cafeeldespertar.com;http://www.cafeeldespertar.com/;Jazz;64
77;El Juglar;MADRID;Madrid;C. de Lavapi�s, 37, 28012;915284381;info@salajuglar.com;http://www.salajuglar.com/;Funk, Fusion, Rock, Pop, Indie;250
78;El Sol;MADRID;Madrid;C. de los Jardines, 3, 28013;915224403;programacion@salaelsol.com;http://www.salaelsol.com/;Pop, Rock, Folk;300
79;Galileo Galilei;MADRID;Madrid;C. de Galileo, 100, 28015;915347557;prensa@salagalileo.es;http://www.salagalileogalilei.com/;Pop, Rock;500
80;Gruta 77;MADRID;Madrid;C. Cuclillo, 6, 28019;914712370;oficina@gruta77.com;http://www.gruta77.com/ ;Rock, Metal, Pop;300
81;Honky Tonk;MADRID;Madrid;Calle de Covarrubias, 24, 28010;914456191;honky@clubhonky.com;http://www.clubhonky.com/;Rock, Pop;350
82;Independance Club;MADRID;Madrid;C. de Atocha, 125, 28012;683516474;independancemadrid@gmail.com;https://www.independanceclub.com/;Rock, Pop, Indie, DJ;750
83;Intruso Bar;MADRID;Madrid;C. de Augusto Figueroa, 3, 28004;Sin datos;info@intrusobar.com;http://www.intrusobar.com/;Funk, Rock, Pop, Indie;200
84;Joy Eslava, Teatro;MADRID;Madrid;C. del Arenal, 11, 28013;915750627;hola@teatroeslava.com;https://teatroeslava.com/;Pop, Rock, metal, Latina, Reggaeton;1500
85;Kelly Music Box;MADRID;Madrid;Cmo. de Perales, 24, 28041;610150402;info@kellymusicbox.com;https://kellymusicbox.com/;Rock, Pop;Sin datos
86;La Caverna;MADRID;Madrid;Calle de Echegaray, 11, 28014;650879156;lacavernaechegaray@gmail.com;https://www.salalacaverna.com/;Rock, Pop;75
87;La Escalera de Jacob;MADRID;Madrid;C. de Lavapi�s, 9, 28012;625721745;programacion@laescaleradejacob.es;http://www.laescaleradejacob.es/;Pop, Rock, Soul;65
88;La Riviera;MADRID;Madrid;P.� Bajo de la Virgen del Puerto, S/N, 28005;913652415;administracion@salariviera.com;https://salariviera.com/;Rock, Pop, Metal, Indie, Hip-Hop;2500
89;Live!!;MADRID;Madrid;Av. de Ntra. Sra. de F�tima, 42, 28047;915255444;conciertos@lasala.biz;http://www.lasala.biz/;Rock, Metal, Pop;250
90;Moby Dick;MADRID;Madrid;Av. de Brasil, 5, 28020;915557671;carolina.pasero@mobydickclub.com;http://www.mobydickclub.com/;Rock, Metal, Folk, Soul, Jazz;300-350
91;Moe;MADRID;Madrid;Av. de Alberto de Alcocer, 32, 28036;Sin datos;info@moeclub.com;https://www.moeclub.com/;Blues, Funk, Jazz, Rock;196
92;Nazca;MADRID;Madrid;C. de Orense, 24, 28020;664180494;info@salanazcaconciertos.com;http://www.salanazcaconciertos.com/;Rock, Metal, Pop;200-500
93;Olvido;MADRID;Madrid;C. del Olvido, 15, 28026;619222919;theo.bar2@gmail.com;http://www.salaolvido15.es/;Rock, Pop, R&B, Blues;200
94;ReviLive;MADRID;Madrid;C. los Cavilas, 4, 28052;917751231;events@revirock.es;https://revi.live/;Rock, Metal, Blues, Jazz;300-1000
95;Rock Palace;MADRID;Madrid;C. de Vara de Rey, 6, 28045;914670623;programacion@rock-palace.com;https://www.rock-palace.com/;Rock, Punk, Blues;250
96;Rockville;MADRID;Madrid;Av. de Brasil, 3 esquina, C. de Orense, 32, 28020;638015650;programacion@rockville.es;http://www.rockville.es/;Rock, Metal, Pop;150-200
97;Sala 0 Madrid;MADRID;Madrid;C.Gran V�a, 46, 28013;917370247;eventos@super8.es;http://www.sala0madrid.com/;Rock, Pop;200-500
98;Shoko;MADRID;Madrid;C. de Toledo, 86, 28005;913541680;hola@shokomadrid.com;http://www.shokomadrid.com/;R&B, Soul, Indie, Pop, Rock;200-1000
99;Silikona;MADRID;Madrid;Pl. del Encuentro, 1, 28030;626101034;eventos@silikona.es;http://www.silikona.es/;Rock, Metal, Pop;150-300
100;Siroco;MADRID;Madrid;C. de San Dimas, 3, 28015;915933070;programacion@siroco.es;http://www.siroco.es/;Rock, Metal, Pop;200
101;Sixx Rock;MADRID;Madrid;C. de Illescas, 100D, 28047;604819468;sixxrockclub@gmail.com;https://sixxrock.negocio.site/;Rock;100
102;Starving;MADRID;Madrid;C. de Ferm�n Caballero, 67, bajo, 28034;679900629;starvingconcierto@gmail.com;Sin datos;Rock;150
103;Tarambana;MADRID;Madrid;C. Dolores Armengot, 31, 28025;914618334;info@tarambana.net;http://www.tarambana.net/;Rock, Pop;100
104;ThunderCat;MADRID;Madrid;C. de Campoamor, 11, 28004;654511457;info@thundercatclub.com;https://thundercatclub.com;Rock, Pop;232
105;Trash Can Music Club - TCMC;MADRID;Madrid;C. del Cardenal Cisneros, 30, 28010;649210956;tcmcmad@gmail.com;Sin datos;Rock;80
106;Vesta;MADRID;Madrid;C. del Barquillo, 29, 28004;Sin datos;programacion@salavesta.com;http://www.salavesta.com/;Jazz, Rock, Pop;140
107;Wurlitzer Ballroom;MADRID;Madrid;C. de las Tres Cruces, 12, 28013;649767676;morgenpromo@gmail.com;https://www.wurlitzerballroom.com/;Rock, Metal, Pop;170
108;38 Special;MADRID;Madrid;C. del Socorro, 20, 28032;655084159;inforockanddestroy@gmail.com;Sin datos;Rock, Metal;50
109;Ego Live;MADRID;Alcal� de Henares;C. Valladolid, 4, 28804;641524514;info@ego-live.com;http://www.ego-live.com/;Pop, Rock, Indie, Hip-Hop;190
110;La Dulce Harleey;MADRID;Alcal� de Henares;C. Andr�s Saborit, 14, B, 28802;690953837;mariaaef70@gmail.com;https://tabernaladulceharleey.wordpress.com/;Rock, Metal, Blues;100-200
111;Excalibur Sur;MADRID;Alorc�n;C. Campo Santo, 16, 28922;Sin datos;excalibursurradio@gmail.com;Sin datos;Rock, Metal;50-100
112;Vizzio;MADRID;Alorc�n;C. Industrias, 32, 28923;696400670;Sin datos;Sin datos;Rock, Metal;200
113;TAF Sala Joaqu�n Sabina;MADRID;Arroyomolinos;PI Valdefuentes, C. Fresadores, 35, 28939;912784782;info@taf.es;http://www.taf.es/;Rock, Pop;350
114;Hora Rock;MADRID;Fuenlabrada;C. Islas Brit�nicas, 2C, 28942;667721954;rickybataca48@gmail.com;Sin datos;Rock, Metal;150
115;Derry Irish Tavern;MADRID;Legan�s;Av. Rey Juan Carlos I, 35, 28915;627521468;sala_derryirishtavern@hotmail.com;http://www.officialirishpub.es/;Blues, Rock, Indie, Pop;250
116;Kiosko Puente Viejo;MADRID;Talamanca de Jarama;C. de la Soledad, 7, 28160;660419820;Sin datos;Sin datos;Rock, Metal, Pop, Blues;100-300
117;Eventual Music;M�LAGA;M�laga;C. Cuernavaca, 23, 29006;951114992;info@eventualmusic.com;http://www.eventualmusic.com/;Folk, Latina, Cumbia, Flamenco, Pop;1200
118;La Trinchera;M�LAGA;M�laga;C. Parauta, 25, 29006;619494993;info@salatrinchera.com;http://salatrinchera.com/;Rock, Metal, Pop;600
119;Par�s15;M�LAGA;M�laga;C. la Orotava, 25-27, PI San Lu�s, 29006;952038626;info@paris15.es;http://www.paris15.es/;Rock, Metal, Pop;3000
120;ZZ PUB;M�LAGA;M�laga;C. Tej�n y Rodr�guez, 6, 29008;678643450;info@zzpub.es;http://www.zzpub.es/;Rock, Pop, Blues;100
121;Custom;SEVILLA;Sevilla;Pol. Ind. Calonge, C. Metalurgia, 25, 41007;608669044;contratacion@salacustom.com;http://www.salacustom.com/;Rock, Metal, Punk;700
122;Holl�nder;SEVILLA;Sevilla;Poligono Calonge, C. Uranio, 6, 41007;620825043;a.c.dfhollander@gmail.com;http://salahollander.es/;Rock, Metal, Punk;200
123;Sala X;SEVILLA;Sevilla;C/ Jos� D�az, 7, 41009;667422219;programacion@rocknrollaproducciones.com;http://lasalax.com/;Rock, Pop;380
124;Underground Music Club;SEVILLA;Alcal� de Guada�ra;Rda. de Cabeza Hermosa, 24, 41500;722180339;undergroundsevilla@gmail.com;http://undergroundsevilla.wix.com/underground;Rock, Metal, Pop, Punk;175
125;Palo Palo;SEVILLA;Marinaleda;Av. Libertad, 15B, 41569;955910082;salapalopalo@gmail.com;https://palopalo.com.es/;Rock;400
126;Black Note;VALENCIA;Valencia;C/ de Polo y Peyrol�n, 15, 46021;619394665;info@blacknoteclub.com;https://www.blacknoteclub.com/;Rock, R&B, Soul, Funk;250
127;El Volander;VALENCIA;Valencia;Carrer Navarro Cabanes, 25, 46018;646910115;elvolander@gmail.com;Sin datos;Rock, Pop;50-100
128;George Best Rock Club;VALENCIA;Valencia;C/ d'Alzira, 12, 46007;663146526;george7rockclub@gmail.com;Sin datos;Rock, Pop, indie;50
129;Loco Club;VALENCIA;Valencia;Carrer de l'Erudit Orellana, 12, 46008;963518521;info@lococlub.org;https://lococlub.es/;Rock, Soul, Pop, Indiem DJ;300
130;Matisse;VALENCIA;Valencia;C de Campoamor, 60, 46022;685240014;programacion@salamatisse.es;http://www.matisseclub.com/;Jazz, Soul, Funk, Salsa, Flamenco;300
131;Moon;VALENCIA;Valencia;C/ de Sant Vicent M�rtir, 200, 46015;672619933;contacto@salamandraonline.com;http://www.moonvalencia.es/web/inicio/;Rock, Pop, Indie;500-600
132;Peter Rock Club;VALENCIA;Valencia;C/ de Quart, 26, 46001;Sin datos;peterrockclubvalencia@gmail.com;https://peterrockclub.es/;Rock, Metal;300
133;16 Toneladas;VALENCIA;Valencia;C/ de Ricardo Mic�, 3, 46009;963494584;info@16toneladas.com;http://www.16toneladas.com/;Rock, Pop, Indie, R&B;250
134;Rock City;VALENCIA;Alm�ssera;Carrer dels Coheters, 6, 46132;961856966;info@rockcity.es;http://www.rockcity.es/;Rock, Metal, Pop;500
135;Matadero Live Music;VALENCIA;Ayora;C. Matadero, 17, 46620;646166009;salamatadero@gmail.com;http://salamatadero.com/;Rock, Metal Pop, Electr�nica;200
136;Repvblicca;VALENCIA;Mislata;Pol. Ind. Mislata, Carrer Baix Vinalop�, 2, 46920;963214392;gerencia@republicca.com;http://www.republicca.com/;Rock, Metal, Pop, Indie, Hip-Hop, DJ;450
137;Black Pearl Club;VALLADOLID;Valladolid;C. Mac�as Picavea, 7, 47003;Sin datos;bpheinekenclub@hotmail.es;https://grupo8apellidos.es/sala-black-pearl/;Rock, Pop;400
138;La Cueva del Jazz;ZAMORA;Zamora;C. Prta Nueva, 30, 49002;980534424;sala@lacuevadeljazz.com;http://www.lacuevadeljazz.com/;Rock, Pop, Jazz, Blues;200
139;La Casa del Loco;ZARAGOZA;Zaragoza;Cl. Mayor, 10, 50001;976293850;arenarockzgz@gmail.com;https://www.arenarock.es/;Rock, Metal, Pop;350
140;Sala Z;ZARAGOZA;Zaragoza;C. de F�lix Latassa, 14, 50006;976567889;arenarockzgz@gmail.com;https://www.arenarock.es/;Rock, Metal, Pop;220
141;Utopia;ZARAGOZA;Zaragoza;C. de Luis del Valle, 19, 50005;628553581;salautopiaconciertos@gmail.com;Sin datos;Rock, Metal, Pop;100
